
Begin Step 0, Time: 0.02, Redshift: 49, Systemstep: 0, Dloga: 0

Begin Step 237, Time: 0.135861, Redshift: 6.36048, Systemstep: 0.000259269, Dloga: 0.00191017

Begin Step 238, Time: 0.13612, Redshift: 6.34643, Systemstep: 0.000259765, Dloga: 0.00191017

Begin Step 239, Time: 0.136381, Redshift: 6.33241, Systemstep: 0.000260261, Dloga: 0.00191017

Begin Step 240, Time: 0.136642, Redshift: 6.31842, Systemstep: 0.000260759, Dloga: 0.00191017

Begin Step 241, Time: 0.136903, Redshift: 6.30445, Systemstep: 0.000261258, Dloga: 0.00191017

Begin Step 242, Time: 0.137165, Redshift: 6.29051, Systemstep: 0.000261757, Dloga: 0.00191017

Begin Step 243, Time: 0.137427, Redshift: 6.2766, Systemstep: 0.000262258, Dloga: 0.00191017

Begin Step 244, Time: 0.13769, Redshift: 6.26272, Systemstep: 0.000262759, Dloga: 0.00191017

Begin Step 245, Time: 0.138217, Redshift: 6.23502, Systemstep: 0.000527026, Dloga: 0.00382033

Begin Step 246, Time: 0.138481, Redshift: 6.22122, Systemstep: 0.000264269, Dloga: 0.00191017

Begin Step 247, Time: 0.138746, Redshift: 6.20744, Systemstep: 0.000264774, Dloga: 0.00191017

Begin Step 248, Time: 0.139011, Redshift: 6.19368, Systemstep: 0.000265281, Dloga: 0.00191017

Begin Step 249, Time: 0.139277, Redshift: 6.17995, Systemstep: 0.000265788, Dloga: 0.00191017

Begin Step 250, Time: 0.139543, Redshift: 6.16625, Systemstep: 0.000266296, Dloga: 0.00191017

Begin Step 251, Time: 0.13981, Redshift: 6.15258, Systemstep: 0.000266805, Dloga: 0.00191017

Begin Step 252, Time: 0.140077, Redshift: 6.13893, Systemstep: 0.000267315, Dloga: 0.00191017

Begin Step 253, Time: 0.140345, Redshift: 6.1253, Systemstep: 0.000267826, Dloga: 0.00191017

Begin Step 254, Time: 0.140613, Redshift: 6.1117, Systemstep: 0.000268339, Dloga: 0.00191017

